1,8866574690104701,545,2023-9-1
2,9912124497002103,583,2026-9-1
3,4453107564225210,936,2022-4-1
4,1507979931409275,570,2024-4-1
5,2190561192332940,304,2023-12-1
6,9619980276442691,399,2025-5-1
7,5038579197547287,607,2025-3-1
8,3903755635378339,628,2024-5-1
9,1655109107807223,264,2025-6-1
10,8528009687749733,938,2024-8-1
11,2514108788311484,522,2025-10-1
12,4478507767124961,848,2024-4-1
13,7256724093967766,570,2023-11-1
14,8254625011631837,631,2026-4-1
15,8864398097731451,303,2026-9-1
16,9563569237345216,156,2024-11-1
17,8934013722979405,320,2022-9-1
18,5276044170510752,339,2022-6-1
19,6047573562691871,913,2023-10-1
20,6299596001065385,648,2023-2-1
21,7715944661592525,747,2026-8-1
22,5519594990444500,479,2025-4-1
23,9020527014998633,486,2025-7-1
24,3693941398805775,340,2025-1-1
25,6587098818426624,379,2023-4-1
26,3954544243555234,211,2023-1-1
27,6558628578740543,163,2025-9-1
28,9413717751164010,615,2025-7-1
29,7941763868510269,293,2022-8-1
30,4488029006562976,506,2023-9-1
