1,7881416147086738,462,2025-12-1
2,1617766712682222,861,2025-12-1
3,7472000362679202,572,2024-1-1
4,3841315197260602,383,2025-11-1
5,1366732043219207,570,2022-12-1
6,4538457923045042,439,2025-7-1
7,4042161196665575,445,2023-5-1
8,6039475702391302,348,2022-4-1
9,1962567026194169,992,2026-6-1
10,6947601337833180,138,2025-10-1
11,6165414091948629,835,2025-1-1
12,5831842054874764,791,2023-5-1
13,8741599534972498,279,2026-7-1
14,6145244841164177,922,2024-11-1
15,1166380861619246,175,2024-3-1
16,8773419688401607,408,2023-6-1
17,3431223334790306,195,2025-4-1
18,1834339133848743,278,2022-8-1
19,1990846636131733,718,2024-2-1
20,2246957189861934,295,2026-6-1
21,3388853635415360,484,2026-6-1
22,2305494389178073,400,2026-11-1
23,6564352945039599,628,2024-10-1
24,4776243065646729,845,2025-5-1
25,2498117362791814,239,2024-12-1
26,5689037969290731,301,2025-5-1
27,5531446124956060,691,2023-10-1
28,4029699904842226,888,2022-2-1
29,1327878087324300,850,2024-12-1
30,4397786536629592,763,2022-10-1
